title,genres,id,keywords,original_language,popularity,release_date,revenue,runtime,vote_average,cast,budget
Batman & Robin,Action Crime Fantasy,415,double life dc comics dual identity crime fighter fictional place,en,50.073575,20-06-1997,238207122,125,4.2,George Clooney Chris O'Donnell Arnold Schwarzenegger Uma Thurman Alicia Silverstone,125000000
How the Grinch Stole Christmas,Family Comedy Fantasy,8871,holiday christmas party new love santa claus village,en,45.419668,17-11-2000,345141403,104,6.2,Jim Carrey Taylor Momsen Jeffrey Tambor Christine Baranski Bill Irwin,123000000
The Day After Tomorrow,Action Adventure Science Fiction Thriller,435,saving the world library cataclysm climate change greenhouse effect,en,41.380094,26-05-2004,544272402,124,6.2,Dennis Quaid Jake Gyllenhaal Emmy Rossum Dash Mihok Jay O. Sanders,125000000
 'job': 'Utility Sound', 'id': 1767009}, 'gender': 0, 'department': 'Production', 'job': 'Assistant Production Coordinator', {'name': 'Bryan Riley', 'job': 'Casting Assistant', 'credit_id': '58b55a22c3a3685f020084da', 'id': 1767011}, 'credit_id': '58b55b3cc3a3685f020085cf', {'name': 'Jeremy F. Butler', 'credit_id': '58b559e49251410a90008e00'
Mission: Impossible II,Adventure Action Thriller,955,terror spain cia helicopter secret identity,en,54.931334,24-05-2000,546388105,123,5.9,Tom Cruise Dougray Scott Thandie Newton Ving Rhames Richard Roxburgh,125000000
The Perfect Storm,Drama,2133,u.s. air force grocery jamaican meteorologist rescue boat,en,25.752118,15-03-2000,325756637,130,6.2,George Clooney Mark Wahlberg Diane Lane John C. Reilly William Fichtner,120000000
Fantastic 4: Rise of the Silver Surfer,Adventure Fantasy Action Thriller,1979,fire helicopter surfboard mask satellite,en,60.810723,13-06-2007,289047763,92,5.4,Ioan Gruffudd Jessica Alba Chris Evans Michael Chiklis Julian McMahon,130000000
Life of Pi,Adventure Drama Action,87827,ocean shipwreck hindu tiger faith,en,51.328145,20-11-2012,609016565,127,7.2,Suraj Sharma Irrfan Khan Ayush Tandon Gautam Belur Adil Hussain,120000000
Ghost Rider,Thriller Action Fantasy Horror,1250,mephisto religion and supernatural dying and death devil's son ghost world,en,46.834704,16-02-2007,228738393,114,5.2,Nicolas Cage Eva Mendes Wes Bentley Donal Logue Sam Elliott,110000000
Jason Bourne,Action Thriller,324668,assassin amnesia flashback,en,62.641286,27-07-2016,415484914,123,5.9,Matt Damon Alicia Vikander Tommy Lee Jones Vincent Cassel Julia Stiles,120000000
Charlie's Angels: Full Throttle,Action Adventure Comedy,9471,robbery secret identity secret agent,en,33.616115,27-06-2003,259175788,106,5.2,Cameron Diaz Drew Barrymore Lucy Liu Bernie Mac Robert Patrick,120000000
Prometheus,Science Fiction Adventure Mystery,70981,android dystopia alien spin off creation,en,68.889395,30-05-2012,403170142,124,6.3,Noomi Rapace Michael Fassbender Guy Pearce Idris Elba Logan Marshall-Green,130000000
Stuart Little 2,Family Adventure Animation Comedy,10996,mouse falcon bird friendship family,en,27.990284,19-07-2002,169956806,78,5.4,Michael J. Fox Geena Davis Hugh Laurie Jonathan Lipnicki Anna Hoelck,120000000
Elysium,Science Fiction Action Drama Thriller,68724,dystopia space station class conflict,en,67.33767,07-08-2013,286140700,109,6.4,Matt Damon Jodie Foster Sharlto Copley Alice Braga Diego Luna,115000000
The Chronicles of Riddick,Action Science Fiction,2789,prison dystopia matter of life and death outer space intergalactic travel,en,27.835436,11-06-2004,115772733,119,6.3,Vin Diesel Thandie Newton Karl Urban Colm Feore Linus Roache,105000000
RoboCop,Action Science Fiction,97020,cyborg future dystopia police remake,en,66.757869,30-01-2014,242688965,102,5.7,Joel Kinnaman Gary Oldman Michael Keaton Abbie Cornish Jackie Earle Haley,120000000
Speed Racer,Action Family Science Fiction,7459,car race loss of brother chimp family duringcreditsstinger,en,17.060695,09-05-2008,93945766,135,5.7,Emile Hirsch Christina Ricci Matthew Fox Susan Sarandon Scott Porter,120000000
How Do You Know,Comedy Drama Romance,42888,love triangle baseball athlete aftercreditsstinger,en,11.137655,17-12-2010,48668907,121,4.9,Reese Witherspoon Paul Rudd Owen Wilson Jack Nicholson Kathryn Hahn,120000000
Knight and Day,Action Comedy,37834,spy airport gas station garage pilot,en,44.906918,15-06-2010,261930431,109,5.9,Tom Cruise Cameron Diaz Peter Sarsgaard Viola Davis Jordi Moll\u00e0,117000000
Oblivion,Action Science Fiction Adventure Mystery,75612,spacecraft dystopia space drone imax,en,67.698004,10-04-2013,286168572,124,6.4,Tom Cruise Morgan Freeman Olga Kurylenko Andrea Riseborough Nikolaj Coster-Waldau,120000000
Star Wars: Episode III - Revenge of the Sith,Science Fiction Adventure Action,1895,showdown death star vision cult figure hatred,en,44.108427,17-05-2005,850000000,140,7.1,Ewan McGregor Natalie Portman Hayden Christensen Ian McDiarmid Samuel L. Jackson,113000000
Star Wars: Episode II - Attack of the Clones,Adventure Action Science Fiction,1894,senate investigation army death star jedi,en,43.987061,15-05-2002,649398328,142,6.4,Ewan McGregor Natalie Portman Hayden Christensen Ian McDiarmid Samuel L. Jackson,120000000
"Monsters, Inc.",Animation Comedy Family,585,monster infant energy supply company rivalry,en,106.815545,01-11-2001,562816256,92,7.5,John Goodman Billy Crystal Mary Gibbs Steve Buscemi James Coburn,115000000
 'credit_id': '5724de7ec3a368423a0021b3', {'name': 'Michael Parks', 'department': 'Visual Effects', 'job': 'Animation', 'credit_id': '52fe4258c3a36847f8016e13', 'gender': 0, 'credit_id': '5732774f9251416578000502', 'id': 1291315}, {'name': 'Bob Whitehill', 'id': 1299484}, 'gender': 0, 'id': 1043374}
The Wolverine,Action Science Fiction Adventure Fantasy,76170,japan samurai mutant world war i marvel comic,en,15.953444,23-07-2013,415440673,126,6.3,Hugh Jackman Hiroyuki Sanada Famke Janssen Will Yun Lee Tao Okamoto,120000000
Star Wars: Episode I - The Phantom Menace,Adventure Action Science Fiction,1893,prophecy senate queen taskmaster galaxy,en,54.035265,19-05-1999,924317558,136,6.3,Liam Neeson Ewan McGregor Natalie Portman Jake Lloyd Ian McDiarmid,115000000
The Croods,Adventure Animation Comedy Family Fantasy,49519,stone age daughter father prehistoric ancient world,en,64.183321,20-03-2013,585178928,98,6.8,Nicolas Cage Emma Stone Ryan Reynolds Catherine Keener Cloris Leachman,135000000
Asterix at the Olympic Games,Fantasy Adventure Comedy Family,2395,competition greece colosseum olympic games emperor,fr,20.344364,13-01-2008,132900000,116,5,Clovis Cornillac G\u00e9rard Depardieu Franck Dubosc Jos\u00e9 Garcia St\u00e9phane Rousseau,97250400
Windtalkers,Drama Action History War,12100,japan world war ii radio transmission marine corps u.s. army,en,18.714197,14-06-2002,77628265,134,5.8,Nicolas Cage Adam Beach Peter Stormare Noah Emmerich Mark Ruffalo,115000000
The Huntsman: Winter's War,Action Adventure Drama,290595,witch magic fairy tale snow white huntsman,en,60.467984,06-04-2016,164602163,114,6,Chris Hemsworth Charlize Theron Emily Blunt Jessica Chastain Nick Frost,115000000
Teenage Mutant Ninja Turtles,Science Fiction Action Adventure Fantasy Comedy,98566,martial arts terrorist hero mutation van,en,143.350376,07-08-2014,477200000,101,5.8,Megan Fox Will Arnett William Fichtner Alan Ritchson Noel Fisher,125000000
Gravity,Science Fiction Thriller Drama,49047,space mission loss space astronaut trapped in space,en,110.153618,27-09-2013,716392705,91,7.3,Sandra Bullock George Clooney Ed Harris Orto Ignatiussen Phaldut Sharma,105000000
Dante's Peak,Action Adventure Thriller,9619,helicopter small town mayor evacuation motel,en,16.90444,07-02-1997,178127760,108,5.7,Pierce Brosnan Linda Hamilton Jamie Ren\u00e9e Smith Jeremy Foley Elizabeth Hoffman,116000000
Teenage Mutant Ninja Turtles: Out of the Shadows,Fantasy Action Adventure Comedy,308531,brother brother relationship turtle sequel based on comic book ninja,en,39.873791,01-06-2016,245623848,112,5.8,Megan Fox Stephen Amell Will Arnett Laura Linney Pete Ploszek,135000000
Fantastic Four,Action Adventure Science Fiction,166424,teleportation transformation telekinesis portal marvel comic,en,38.126095,05-08-2015,167977596,100,4.4,Miles Teller Kate Mara Michael B. Jordan Jamie Bell Toby Kebbell,120000000
Night at the Museum,Action Adventure Comedy Family Fantasy,1593,museum skeleton night shift chaos genghis khan,en,48.780039,20-10-2006,574480841,108,6.3,Ben Stiller Jake Cherry Carla Gugino Robin Williams Dick Van Dyke,110000000
San Andreas,Action Drama Thriller,254128,california earthquake catastrophe disaster film 3d,en,100.412364,27-05-2015,470490832,114,6,Dwayne Johnson Alexandra Daddario Carla Gugino Ioan Gruffudd Archie Panjabi,110000000
Tomorrow Never Dies,Adventure Action Thriller,714,london england england spy china news broadcast,en,42.887121,11-12-1997,333011068,119,6,Pierce Brosnan Jonathan Pryce Michelle Yeoh Teri Hatcher Ricky Jay,110000000
The Patriot,Drama History War Action,2024,rebel southern usa loss of son martial arts general,en,23.657284,28-06-2000,215294342,165,6.8,Mel Gibson Heath Ledger Joely Richardson Jason Isaacs Tch\u00e9ky Karyo,110000000
Ocean's Twelve,Thriller Crime,163,sequel faberg\u00e9 egg dutch eastindian company second part,en,76.840712,09-12-2004,362744280,125,6.4,George Clooney Brad Pitt Catherine Zeta-Jones Julia Roberts Andy Garc\u00eda,110000000
Mr. & Mrs. Smith,Action Comedy Drama Thriller,787,bomb assassin secret identity secret assault rifle,en,44.635452,07-06-2005,478207520,120,6.5,Angelina Jolie Brad Pitt Vince Vaughn Adam Brody Kerry Washington,110000000
Insurgent,Adventure Science Fiction Thriller,262500,based on novel revolution dystopia sequel dystopic future,en,103.718387,18-03-2015,295238201,119,6.2,Shailene Woodley Theo James Kate Winslet Ansel Elgort Miles Teller,110000000
The Aviator,Drama,2567,ladykiller pilot biography womanizer aviation,en,45.616098,17-12-2004,102000000,170,7,Leonardo DiCaprio Cate Blanchett Kate Beckinsale John C. Reilly Alec Baldwin,116000000
Gulliver's Travels,Comedy,38745,journalist forbidden love princess royal court 3d,en,22.845143,25-12-2010,237382724,85,4.9,Jack Black Amanda Peet Emily Blunt Jason Segel Chris O'Dowd,112000000
The Green Hornet,Action Crime Comedy,40805,bomb martial arts assassin vandalism nightclub,en,31.703608,12-01-2011,227817248,119,5.5,Seth Rogen Jay Chou Christoph Waltz Cameron Diaz Edward Furlong,120000000
300: Rise of an Empire,Action War,53182,based on graphic novel ancient greece duringcreditsstinger sea battle hand to hand combat,en,71.510596,05-03-2014,337580051,102,6.1,Sullivan Stapleton Eva Green Lena Headey Callan Mulvey David Wenham,110000000
The Smurfs,Animation Family Adventure Comedy Fantasy,41513,moon magic based on comic book animation good vs evil,en,36.65422,29-07-2011,563749323,103,5.5,Hank Azaria Neil Patrick Harris Jayma Mays Sof\u00eda Vergara Tim Gunn,110000000
Home on the Range,Animation Family,13700,farm cow animal,en,19.625972,02-04-2004,103951461,76,5.7,Roseanne Barr Judi Dench Jennifer Tilly Steve Buscemi G. W. Bailey,110000000
Allegiant,Adventure Science Fiction,262504,based on novel revolution dystopia sequel dystopic future,en,86.105615,09-03-2016,179246868,121,5.9,Shailene Woodley Theo James Zo\u00eb Kravitz Miles Teller Naomi Watts,110000000
Real Steel,Action Science Fiction Drama,39254,father son relationship fight sport robot prizefighting,en,37.195046,28-09-2011,299268508,127,6.6,Hugh Jackman Dakota Goyo Evangeline Lilly Anthony Mackie Kevin Durand,110000000
The Smurfs 2,Fantasy Family Comedy Animation,77931,based on cartoon animation smurf,en,32.473628,30-07-2013,347434178,105,5.5,Hank Azaria Neil Patrick Harris Brendan Gleeson Jayma Mays Jonathan Winters,105000000
Speed 2: Cruise Control,Action Adventure Thriller,1639,boat cruise computer disaster diamond,en,23.336875,13-06-1997,164508066,121,4.1,Sandra Bullock Jason Patric Willem Dafoe Temuera Morrison Mike Hagerty,160000000
Ender's Game,Science Fiction Action Adventure,80274,based on novel intolerance chosen one child prodigy futuristic,en,45.94834,23-10-2013,125537191,114,6.6,Asa Butterfield Harrison Ford Hailee Steinfeld Abigail Breslin Ben Kingsley,110000000
Live Free or Die Hard,Action Thriller,1571,usa washington d.c. helicopter hostage fbi,en,48.93337,20-06-2007,383531464,128,6.4,Bruce Willis Justin Long Timothy Olyphant Cliff Curtis Maggie Q,110000000
The Lord of the Rings: The Fellowship of the Ring,Adventure Fantasy Action,120,elves dwarves orcs middle-earth (tolkien) hobbit,en,138.049577,18-12-2001,871368364,178,8,Elijah Wood Ian McKellen Cate Blanchett Orlando Bloom Sean Bean,93000000
Around the World in 80 Days,Action Adventure Comedy,10204,paris london england new york jules verne san francisco,en,22.643776,16-06-2004,72178895,120,5.7,Jackie Chan Steve Coogan C\u00e9cile de France Robert Fyfe Jim Broadbent,110000000
Ali,Drama,8489,usa transporter boxer biography muhammad,en,18.866672,11-12-2001,87713825,157,6.7,Will Smith Jamie Foxx Jon Voight Mario Van Peebles Ron Silver,107000000
The Cat in the Hat,Comedy Fantasy Family,10588,cat brother sister relationship boredom chaos step father,en,18.251129,21-11-2003,0,82,4.9,Mike Myers Dakota Fanning Spencer Breslin Kelly Preston Alec Baldwin,0
"I, Robot",Action Science Fiction,2048,suicide artificial intelligence man vs machine chicago based on novel,en,95.914473,15-07-2004,347234916,115,6.7,Will Smith Bridget Moynahan Alan Tudyk James Cromwell Bruce Greenwood,120000000
Kingdom of Heaven,Drama Action Adventure History War,1495,crusade epic knight swordsman order of the templars,en,44.490453,03-05-2005,211643158,144,6.6,Orlando Bloom Eva Green Jeremy Irons Marton Csokas Brendan Gleeson,130000000
Stuart Little,Animation Fantasy Family Comedy,10137,brother brother relationship based on novel cat mouse adoption,en,30.475297,17-12-1999,300135367,84,5.8,Michael J. Fox Geena Davis Hugh Laurie Jonathan Lipnicki Nathan Lane,133000000
The Princess and the Frog,Romance Family Animation Music,10198,based on novel voodoo kiss princess animation,en,62.479574,08-12-2009,267045765,97,6.7,Anika Noni Rose Bruno Campos Keith David Michael-Leon Wooley Jennifer Cody,105000000
The Martian,Drama Adventure Science Fiction,286217,based on novel mars nasa isolation botanist,en,167.93287,30-09-2015,630161890,141,7.6,Matt Damon Jessica Chastain Kristen Wiig Jeff Daniels Michael Pe\u00f1a,108000000
The Island,Action Thriller Science Fiction Adventure,1635,clone transplantation love of one's life dystopia genetics,en,37.68056,20-07-2005,162949164,136,6.5,Ewan McGregor Scarlett Johansson Djimon Hounsou Sean Bean Steve Buscemi,126000000
Town & Country,Comedy Romance,24113,architect cellist friends anniversary,en,1.004579,27-04-2001,10372291,104,3.7,Warren Beatty Diane Keaton Goldie Hawn Garry Shandling Andie MacDowell,90000000
Gone in Sixty Seconds,Action Crime Thriller,9679,brother brother relationship detective car race car thief blackmail,en,52.995628,09-06-2000,237202299,118,6.1,Nicolas Cage Angelina Jolie Giovanni Ribisi Delroy Lindo Will Patton,90000000
Gladiator,Action Drama Adventure,98,rome gladiator arena senate roman empire,en,95.301296,01-05-2000,457640427,155,7.9,Russell Crowe Joaquin Phoenix Connie Nielsen Oliver Reed Richard Harris,103000000
Minority Report,Action Thriller Science Fiction Mystery,180,self-fulfilling prophecy washington d.c. evidence future hologram,en,65.948959,20-06-2002,358372926,145,7.1,Tom Cruise Colin Farrell Samantha Morton Max von Sydow Lois Smith,102000000
Harry Potter and the Chamber of Secrets,Adventure Fantasy Family,672,flying car witch magic cutting the cord child hero,en,132.397737,13-11-2002,876688482,161,7.4,Daniel Radcliffe Rupert Grint Emma Watson Richard Harris Alan Rickman,100000000
Casino Royale,Adventure Action Thriller,36557,italy poker casino terrorist banker,en,88.935165,14-11-2006,599045960,144,7.3,Daniel Craig Eva Green Mads Mikkelsen Judi Dench Jeffrey Wright,150000000
Planet of the Apes,Thriller Science Fiction Action Adventure,869,gorilla space marine space suit revolution chimp,en,51.188633,25-07-2001,362211740,119,5.6,Mark Wahlberg Tim Roth Helena Bonham Carter Michael Clarke Duncan Kris Kristofferson,100000000
Terminator 2: Judgment Day,Action Thriller Science Fiction,280,cyborg shotgun post-apocalyptic dystopia moral ambiguity,en,101.74155,01-07-1991,520000000,137,7.7,Arnold Schwarzenegger Linda Hamilton Robert Patrick Edward Furlong Michael Edwards,100000000
Public Enemies,History Crime Drama,11322,cinema hiding place machinegun prison guard escape from prison,en,33.691694,01-07-2009,214104620,140,6.5,Christian Bale Johnny Depp Giovanni Ribisi Billy Crudup Marion Cotillard,80000000
American Gangster,Drama Crime,4982,underdog black people drug traffic drug smuggle society,en,42.361215,02-11-2007,266465037,157,7.4,Denzel Washington Russell Crowe Chiwetel Ejiofor Josh Brolin Lymari Nadal,100000000
True Lies,Action Thriller,36955,spy terrorist florida gun kidnapping,en,38.729418,14-07-1994,378882411,141,6.8,Arnold Schwarzenegger Jamie Lee Curtis Tom Arnold Bill Paxton Tia Carrere,115000000
The Taking of Pelham 1 2 3,Thriller Drama Crime,18487,hostage new york city new york subway subway train stock market,en,40.597856,11-06-2009,150166126,106,6.2,Denzel Washington John Travolta Luis Guzm\u00e1n Victor Gojcaj John Turturro,100000000
Little Fockers,Comedy Romance,39451,nurse cat father-in-law vomit kids and family,en,32.389353,21-12-2010,310650585,98,5.4,Robert De Niro Ben Stiller Owen Wilson Dustin Hoffman Barbra Streisand,100000000
The Other Guys,Action Comedy Crime,27581,narration ceo fire truck shot in the shoulder zip line,en,24.399642,06-08-2010,170432927,107,6.1,Will Ferrell Mark Wahlberg Eva Mendes Samuel L. Jackson Dwayne Johnson,100000000
Eraser,Action Drama Mystery Thriller,9268,suicide ambush showdown hostage traitor,en,24.507987,21-06-1996,242295562,115,5.6,Arnold Schwarzenegger James Caan Vanessa Williams James Coburn Robert Pastorelli,100000000
Django Unchained,Drama Western,68718,bounty hunter hero plantation society friendship,en,82.121691,25-12-2012,425368238,165,7.8,Jamie Foxx Christoph Waltz Leonardo DiCaprio Kerry Washington Samuel L. Jackson,100000000
The Hunchback of Notre Dame,Drama Animation Family,10545,paris based on novel judge obsession dance,en,46.727941,21-06-1996,100138851,91,6.8,Tom Hulce Demi Moore Tony Jay Kevin Kline Paul Kandel,100000000
The Emperor's New Groove,Adventure Animation Comedy Family Fantasy,11688,central and south america birthday emperor palace kingdom,en,51.113717,09-12-2000,169327687,78,7.2,David Spade John Goodman Eartha Kitt Patrick Warburton Wendie Malick,100000000
The Expendables 2,Action Adventure Thriller,76163,airplane number in title airplane crash violence beard,en,53.732892,08-08-2012,312573423,103,6.1,Sylvester Stallone Jason Statham Dolph Lundgren Bruce Willis Arnold Schwarzenegger,100000000
National Treasure,Adventure Action Thriller Mystery,2059,riddle treasure treasure hunt archaeologist archeology\u00a0,en,58.849256,19-11-2004,347451894,131,6.4,Nicolas Cage Diane Kruger Justin Bartha Sean Bean Jon Voight,100000000
Eragon,Fantasy Action Adventure Family,2486,based on novel mythical creature dragon fantasy world teenage hero,en,30.863434,14-12-2006,249288105,104,4.9,Ed Speleers Jeremy Irons Sienna Guillory Robert Carlyle Djimon Hounsou,100000000
Where the Wild Things Are,Family Fantasy,16523,children's book igloo wolf costume swallowed whole hit with a rock,en,31.586215,16-10-2009,100086793,101,6.4,Max Records Catherine Keener Lauren Ambrose James Gandolfini Catherine O'Hara,100000000
Epic,Animation Adventure Family Fantasy,116711,fantasy miniature people,en,36.711378,15-05-2013,268426634,102,6.4,Josh Hutcherson Amanda Seyfried Colin Farrell Jason Sudeikis Aziz Ansari,100000000
The Tourist,Action Thriller Romance,37710,paris hotel false identity undercover agent romance,en,41.426678,08-12-2010,278731369,103,6,Johnny Depp Angelina Jolie Paul Bettany Timothy Dalton Steven Berkoff,100000000
End of Days,Action Fantasy Horror Mystery,9946,christianity sex new year's eve pastor nudity,en,20.652943,24-11-1999,211989043,121,5.5,Arnold Schwarzenegger Gabriel Byrne Kevin Pollak Robin Tunney CCH Pounder,100000000
Blood Diamond,Drama Thriller Action,1372,rebel journalist journalism loss of family slavery,en,52.792678,07-12-2006,170877916,143,7.3,Leonardo DiCaprio Djimon Hounsou Jennifer Connelly Kagiso Kuypers Arnold Vosloo,100000000
The Wolf of Wall Street,Crime Drama Comedy,106646,corruption sex sexuality bank humor,en,95.007934,25-12-2013,392000694,180,7.9,Leonardo DiCaprio Jonah Hill Margot Robbie Kyle Chandler Rob Reiner,100000000
 'department': 'Lighting', 'credit_id': '5681e6bfc3a36860e9011ee5', {'name': 'Kevin Karpinski', 'gender': 0, 'department': 'Lighting', 'id': 1555032}, 'department': 'Lighting', 'job': 'Electrician', 'credit_id': '5681e7b1c3a3682abc00b3b4', 'job': 'Rigging Grip', 'id': 1555034}, 'job': 'Electrician'
Batman Forever,Action Crime Fantasy,414,riddle dc comics rose gotham city partner,en,48.205606,31-05-1995,336529144,121,5.2,Val Kilmer Tommy Lee Jones Jim Carrey Nicole Kidman Chris O'Donnell,100000000
Starship Troopers,Adventure Action Thriller Science Fiction,563,moon asteroid space marine intelligence buenos aires,en,58.782359,06-11-1997,121214377,129,6.7,Casper Van Dien Dina Meyer Denise Richards Jake Busey Neil Patrick Harris,105000000
Cloud Atlas,Drama Science Fiction,83542,clone future dystopia ensemble cast duringcreditsstinger,en,73.872343,26-10-2012,130482868,172,6.6,Tom Hanks Halle Berry Jim Broadbent Hugo Weaving Jim Sturgess,102000000
Legend of the Guardians: The Owls of Ga'Hoole,Animation Adventure Family Fantasy,41216,owl,en,37.321848,10-07-2010,140073390,97,6.5,Emily Barclay Abbie Cornish Essie Davis Joel Edgerton Deborra-Lee Furness,80000000
Catwoman,Action Crime,314,white russian sex dc comics beauty sexism,en,32.271938,22-07-2004,82102379,104,4.2,Halle Berry Benjamin Bratt Sharon Stone Lambert Wilson Frances Conroy,100000000
Hercules,Action Adventure,184315,mercenary battle ancient greece hercules warrior,en,76.842247,23-07-2014,243400000,99,5.6,Dwayne Johnson Ian McShane John Hurt Rufus Sewell Aksel Hennie,100000000
Treasure Planet,Adventure Animation Family Fantasy Science Fiction,9016,cyborg based on novel space marine mutiny loss of father,en,38.924136,26-11-2002,109578115,95,7.2,Joseph Gordon-Levitt Brian Murray David Hyde Pierce Emma Thompson Michael Wincott,140000000
Land of the Lost,Adventure Comedy Science Fiction,18162,alien life-form dinosaur primate duringcreditsstinger,en,19.38841,05-06-2009,68688831,102,5.3,Will Ferrell Anna Friel Danny McBride Jorma Taccone Matt Lauer,100000000
The Expendables 3,Action Adventure Thriller,138103,cia arms dealer sequel rescue mission hospital,en,61.025639,04-08-2014,206172544,127,6.1,Sylvester Stallone Jason Statham Harrison Ford Arnold Schwarzenegger Mel Gibson,90000000
Point Break,Action Crime Thriller,257088,undercover undercover agent extreme sports fbi agent 3d,en,33.507289,03-12-2015,133718711,114,5.5,Edgar Ram\u00edrez Luke Bracey Teresa Palmer Delroy Lindo Ray Winstone,105000000
Son of the Mask,Fantasy Comedy Family Adventure,10214,baby mask viking,en,17.815595,18-02-2005,0,94,3.6,Jamie Kennedy Alan Cumming Traylor Howard Kal Penn Steven Wright,84000000
In the Heart of the Sea,Thriller Drama Adventure Action History,205775,suicide ocean sea hunger shipwreck,en,50.767332,20-11-2015,93820758,122,6.5,Chris Hemsworth Benjamin Walker Cillian Murphy Brendan Gleeson Ben Whishaw,100000000
The Adventures of Pluto Nash,Action Comedy Science Fiction,11692,moon casino bar nightclub future,en,12.092241,15-08-2002,7103973,95,4.4,Eddie Murphy Randy Quaid Rosario Dawson Joe Pantoliano Jay Mohr,100000000
Green Zone,War Action Adventure Drama Thriller,22972,weapon of mass destruction baghdad iraqi\u00a0,en,30.254021,11-03-2010,94882889,115,6.4,Matt Damon Greg Kinnear Brendan Gleeson Amy Ryan Jason Isaacs,100000000
The Peanuts Movie,Animation,227973,based on comic strip family 3d charlie brown snoopy,en,34.308098,05-11-2015,246233113,88,6.5,Noah Schnapp Bill Melendez Venus Schultheis Hadley Belle Miller Madisyn Shipman,99000000
The Spanish Prisoner,Crime Drama Mystery Thriller,29193,dialogue confidence invention independent film,en,3.091077,08-09-1997,13835130,110,7.1,Steve Martin Campbell Scott Ben Gazzara Rebecca Pidgeon Ricky Jay,10000000
The Mummy Returns,Adventure Action Fantasy,1734,son ancient egypt bracelet,en,41.862983,28-04-2001,433013274,130,6,Brendan Fraser Rachel Weisz John Hannah Arnold Vosloo Oded Fehr,98000000
Gangs of New York,Drama History Crime,3131,fire irish-american immigrant gang war pickpocket,en,46.160048,14-12-2002,193772504,167,7.1,Leonardo DiCaprio Daniel Day-Lewis Cameron Diaz Liam Neeson Brendan Gleeson,100000000
The Flowers of War,Drama History War,76758,forced prostitution child rape,zh,12.516546,15-12-2011,95311434,145,7.1,Christian Bale Ni Ni Tong Dawei Zhang Xinyi Shigeo Kobayashi,94000000
Surf's Up,Animation Comedy Family,9408,sea world cup surfer wave surfboard,en,23.230851,08-06-2007,149044513,85,5.9,Shia LaBeouf Jeff Bridges Zooey Deschanel Jon Heder James Woods,85000000
The Stepford Wives,Action Comedy Science Fiction,9890,android housewife transformation,en,19.224754,10-06-2004,102000000,93,5.4,Nicole Kidman Matthew Broderick Bette Midler Glenn Close Christopher Walken,90000000
Black Hawk Down,Action History War,855,prisoners of war wound somalia warlord famine,en,44.455166,28-12-2001,172989651,144,7.2,Josh Hartnett Ewan McGregor Jason Isaacs Tom Sizemore William Fichtner,92000000
The Campaign,Comedy,77953,politics politician election campaign \u00a0north carolinam congressman,en,16.460356,09-08-2012,104907746,85,5.6,Will Ferrell Zach Galifianakis Dylan McDermott Jason Sudeikis Sarah Baker,0
The Fifth Element,Adventure Fantasy Action Thriller Science Fiction,18,clone taxi cyborg egypt future,en,109.528572,07-05-1997,263920180,126,7.3,Bruce Willis Gary Oldman Ian Holm Milla Jovovich Chris Tucker,90000000
Sex and the City 2,Comedy Drama Romance,37786,,en,18.325897,26-05-2010,288347692,146,5.4,Sarah Jessica Parker Kristin Davis Cynthia Nixon Kim Cattrall Chris Noth,100000000
The Road to El Dorado,Adventure Animation Comedy Family,10501,gold horse sword fight,en,37.054554,31-03-2000,76432727,89,7,Kenneth Branagh Kevin Kline Rosie Perez Armand Assante Edward James Olmos,95000000
Ice Age: Continental Drift,Animation Comedy Adventure Family,57800,blue footed booby prehistoric times melting ice badger elephant seal,en,65.229868,26-06-2012,877244782,88,6.2,John Leguizamo Ray Romano Chris Wedge Denis Leary Seann William Scott,95000000
Cinderella,Romance Fantasy Family Drama,150689,cinderella magic prince fairy tale kingdom,en,101.187052,12-03-2015,543514353,105,6.7,Lily James Cate Blanchett Richard Madden Helena Bonham Carter Stellan Skarsg\u00e5rd,95000000
The Lovely Bones,Fantasy Drama,7980,rape 1970s evidence tree afterlife,en,29.257137,26-12-2009,93525586,136,6.6,Rachel Weisz Mark Wahlberg Susan Sarandon Saoirse Ronan Stanley Tucci,65000000
Finding Nemo,Animation Family,12,father son relationship harbor underwater fish tank great barrier reef,en,85.688789,30-05-2003,940335536,100,7.6,Albert Brooks Ellen DeGeneres Alexander Gould Willem Dafoe Brad Garrett,94000000
The Lord of the Rings: The Return of the King,Adventure Fantasy Action,122,elves orcs middle-earth (tolkien) based on novel suspicion,en,123.630332,01-12-2003,1118888979,201,8.1,Elijah Wood Ian McKellen Viggo Mortensen Liv Tyler Orlando Bloom,94000000
The Lord of the Rings: The Two Towers,Adventure Fantasy Action,121,elves orcs middle-earth (tolkien) hobbit based on novel,en,106.914973,18-12-2002,926287400,179,8,Elijah Wood Ian McKellen Viggo Mortensen Liv Tyler Orlando Bloom,79000000
Seventh Son,Adventure Fantasy,68737,magic chosen one dark fantasy witch hunter evil witch,en,63.628459,12-12-2014,114178613,102,5.2,Jeff Bridges Julianne Moore Ben Barnes Alicia Vikander Kit Harington,95000000
Lara Croft: Tomb Raider,Adventure Fantasy Action Thriller,1995,treasure buddhist monk planetary configuration angkor wat illuminati,en,41.498631,11-06-2001,274703340,100,5.7,Angelina Jolie Jon Voight Iain Glen Noah Taylor Daniel Craig,115000000
